epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13695.3,1.09908,1.07657,0.02383,0.8976,0.85711,0.92161,0.74221,0.81727,0.52628,0.02367,0.000600384,0.000600384,0.000600384
43,14056.6,1.09167,1.05315,0.02342,0.90125,0.8511,0.92887,0.75255,0.82619,0.50916,0.02399,0.000580174,0.000580174,0.000580174
44,14419.2,1.09221,1.07358,0.02398,0.8967,0.83774,0.92467,0.75738,0.78346,0.49187,0.0226,0.000559964,0.000559964,0.000559964
45,14778.5,1.09138,1.03811,0.0237,0.90504,0.8686,0.91826,0.735,0.80739,0.4996,0.02377,0.000539754,0.000539754,0.000539754
46,15139.4,1.06874,1.0479,0.02312,0.91177,0.87562,0.93542,0.75123,0.81798,0.4848,0.02408,0.000519544,0.000519544,0.000519544
47,15503.5,1.07398,1.04049,0.02333,0.87974,0.89706,0.9256,0.75973,0.78865,0.48254,0.02302,0.000499333,0.000499333,0.000499333
48,15785.7,1.06667,1.02387,0.02321,0.90413,0.8827,0.93903,0.77261,0.79106,0.48277,0.02302,0.000479123,0.000479123,0.000479123
49,16070.1,1.03901,1.02535,0.02227,0.92152,0.87698,0.93752,0.77976,0.7837,0.47871,0.02284,0.000458913,0.000458913,0.000458913
50,16430.4,1.04584,1.00605,0.02249,0.90114,0.89342,0.93822,0.7795,0.77154,0.48192,0.02218,0.000438703,0.000438703,0.000438703
51,16815,1.0561,1.00387,0.02263,0.89512,0.90298,0.93497,0.76463,0.80192,0.48539,0.02338,0.000418493,0.000418493,0.000418493
52,17186.8,1.04013,0.97541,0.02219,0.93396,0.88154,0.94501,0.77823,0.78637,0.47904,0.02296,0.000398283,0.000398283,0.000398283
53,17546.5,1.02474,0.96086,0.02225,0.93057,0.85495,0.94227,0.78847,0.72697,0.45111,0.02093,0.000378073,0.000378073,0.000378073
54,17907,1.01275,0.95325,0.022,0.92159,0.86821,0.94192,0.78668,0.77474,0.49096,0.02265,0.000357862,0.000357862,0.000357862
55,18263.7,1.01334,0.96266,0.02182,0.90726,0.89592,0.94124,0.77855,0.78437,0.47145,0.0226,0.000337652,0.000337652,0.000337652
56,18622.6,1.00888,0.95966,0.02165,0.91477,0.90514,0.95082,0.79624,0.74932,0.4553,0.02167,0.000317442,0.000317442,0.000317442
57,18982.6,1.00106,0.94233,0.02154,0.92293,0.87477,0.9403,0.79243,0.75156,0.45964,0.02159,0.000297232,0.000297232,0.000297232
58,19344.2,0.99683,0.96322,0.0215,0.92284,0.86769,0.94225,0.78994,0.74379,0.44869,0.02153,0.000277022,0.000277022,0.000277022
59,19650.5,0.99071,0.92066,0.02125,0.92663,0.90918,0.94979,0.80684,0.73763,0.4215,0.02109,0.000256812,0.000256812,0.000256812
60,19910.7,0.97606,0.90818,0.02087,0.93548,0.88035,0.9472,0.80612,0.73136,0.4344,0.02097,0.000236602,0.000236602,0.000236602
61,20168.1,0.74606,0.43717,0.02076,0.90283,0.90388,0.94907,0.79447,0.75901,0.4611,0.02217,0.000216391,0.000216391,0.000216391
62,20495.7,0.71577,0.38261,0.01959,0.93401,0.87939,0.94887,0.80239,0.72843,0.45327,0.02102,0.000196181,0.000196181,0.000196181
63,20797.2,0.70607,0.38065,0.01956,0.92781,0.8952,0.9516,0.80919,0.73053,0.43548,0.02091,0.000175971,0.000175971,0.000175971
64,21125.2,0.69834,0.35813,0.01917,0.93067,0.90562,0.95388,0.81342,0.72055,0.43201,0.02074,0.000155761,0.000155761,0.000155761
65,21406.3,0.6769,0.34136,0.01859,0.92519,0.90491,0.95321,0.81702,0.71168,0.42405,0.02045,0.000135551,0.000135551,0.000135551
66,21719,0.67308,0.33858,0.01822,0.91547,0.92401,0.95226,0.81973,0.69905,0.4172,0.01995,0.000115341,0.000115341,0.000115341
67,22046.5,0.6706,0.34105,0.01824,0.93878,0.91111,0.95335,0.81393,0.711,0.42374,0.02041,9.51306e-05,9.51306e-05,9.51306e-05
68,22379.9,0.66772,0.33122,0.01806,0.92608,0.91019,0.95499,0.81769,0.70479,0.4258,0.02011,7.49204e-05,7.49204e-05,7.49204e-05
69,22681.6,0.6532,0.32113,0.01761,0.91745,0.90888,0.95624,0.82523,0.6947,0.41724,0.01971,5.47103e-05,5.47103e-05,5.47103e-05
70,22922,0.64046,0.31182,0.01736,0.93655,0.89257,0.95466,0.82327,0.68861,0.42044,0.0196,3.45001e-05,3.45001e-05,3.45001e-05
